T:ZetaZero = -0.01978429-0.99980427i, b=-9.04900000
T:ZetaZero = -0.01994056-0.99980117i, b=-8.67000000
T:ZetaZero = -0.02004013+0.99979918i, b=-12.17900000
T:ZetaZero = +0.02012079+0.99979756i, b=-1.41200000
T:ZetaZero = -0.02015245-0.99979692i, b=-12.44500000
T:ZetaZero = +0.02016286+0.99979671i, b=-2.54700000
T:ZetaZero = -0.02021168+0.99979572i, b=-15.19200000
T:ZetaZero = -0.02024008-0.99979515i, b=-10.75600000
T:ZetaZero = -0.02025072+0.99979493i, b=-9.53100000
T:ZetaZero = +0.02053604-0.99978911i, b=-11.69800000
T:ZetaZero = +0.02063366+0.99978710i, b=-7.64600000
T:ZetaZero = -0.02080069-0.99978364i, b=-15.47100000
T:ZetaZero = +0.02084747+0.99978267i, b=-7.27000000
T:ZetaZero = -0.02089729+0.99978163i, b=-4.43500000
T:ZetaZero = +0.02091978+0.99978116i, b=-8.02000000
T:ZetaZero = +0.02096575-0.99978019i, b=-7.73600000
T:ZetaZero = +0.02104134-0.99977861i, b=-7.16800000
T:ZetaZero = -0.02121033-0.99977504i, b=-2.26100000
T:ZetaZero = -0.02121741-0.99977489i, b=-4.33900000
T:ZetaZero = -0.02122339-0.99977476i, b=-13.02200000
T:ZetaZero = +0.02122846+0.99977465i, b=-6.32300000
T:ZetaZero = +0.02128366-0.99977348i, b=-9.05000000
T:ZetaZero = +0.02130223-0.99977308i, b=-10.18800000
T:ZetaZero = +0.02135825+0.99977189i, b=-3.49200000
T:ZetaZero = +0.02159592-0.99976678i, b=-4.90600000
T:ZetaZero = +0.02160166-0.99976666i, b=-14.32500000
T:ZetaZero = -0.02163710-0.99976589i, b=-9.62500000
T:ZetaZero = -0.02172024+0.99976409i, b=-11.61500000
T:ZetaZero = +0.02185450-0.99976116i, b=-15.28800000
T:ZetaZero = -0.02202698-0.99975738i, b=-9.99800000
T:ZetaZero = -0.02203073+0.99975729i, b=-9.91200000
T:ZetaZero = +0.02216487+0.99975433i, b=-10.47400000
T:ZetaZero = +0.02226949+0.99975200i, b=-11.79600000
T:ZetaZero = +0.02234626-0.99975029i, b=-9.81300000
T:ZetaZero = +0.02243302-0.99974835i, b=-4.71800000
T:ZetaZero = +0.02255646-0.99974557i, b=-13.96800000
T:ZetaZero = +0.02265308-0.99974339i, b=-11.89100000
T:ZetaZero = +0.02266144+0.99974320i, b=-10.28800000
T:ZetaZero = +0.02284232-0.99973908i, b=-2.45100000
T:ZetaZero = -0.02305561+0.99973418i, b=-13.31200000
T:ZetaZero = -0.02311279-0.99973286i, b=-4.52800000
T:ZetaZero = -0.02313137-0.99973243i, b=-5.09200000
T:ZetaZero = -0.02320626-0.99973070i, b=-10.37800000
T:ZetaZero = -0.02331042+0.99972828i, b=-2.17000000
T:ZetaZero = +0.02335707-0.99972719i, b=-12.63800000
T:ZetaZero = -0.02346050-0.99972476i, b=-11.69700000
T:ZetaZero = +0.02352354+0.99972328i, b=-15.94700000
T:ZetaZero = -0.02361844+0.99972105i, b=-8.59700000
T:ZetaZero = -0.02372263-0.99971858i, b=-12.07600000
T:ZetaZero = -0.02381503+0.99971638i, b=-4.81300000
T:ZetaZero = +0.02420056-0.99970712i, b=-1.50700000
T:ZetaZero = +0.02424295-0.99970610i, b=-13.77800000
T:ZetaZero = +0.02427111-0.99970541i, b=-13.39400000
T:ZetaZero = -0.02438654+0.99970260i, b=-3.68200000
T:ZetaZero = +0.02446337+0.99970073i, b=-15.57500000
T:ZetaZero = -0.02449058+0.99970006i, b=-1.22400000
T:ZetaZero = -0.02451488-0.99969947i, b=-0.16500000
T:ZetaZero = -0.02451904-0.99969936i, b=-3.20400000
T:ZetaZero = +0.02473811+0.99969397i, b=-1.03300000
T:ZetaZero = +0.02493396-0.99968910i, b=-4.15100000
T:ZetaZero = -0.02493589-0.99968905i, b=-0.55700000
T:ZetaZero = +0.02497334-0.99968812i, b=-1.69600000
T:ZetaZero = +0.02502550+0.99968681i, b=-2.73600000
T:ZetaZero = -0.02514097+0.99968392i, b=-12.37300000
T:ZetaZero = +0.02520477-0.99968231i, b=-13.20900000
T:ZetaZero = +0.02522018-0.99968192i, b=-8.11600000
T:ZetaZero = +0.02576865+0.99966793i, b=-11.98400000
T:ZetaZero = -0.02587209-0.99966526i, b=-14.32300000
T:ZetaZero = -0.02624385+0.99965557i, b=-9.34500000
T:ZetaZero = +0.02631860-0.99965361i, b=-13.58400000
T:ZetaZero = +0.02632597+0.99965341i, b=-12.74300000
T:ZetaZero = -0.02642181+0.99965088i, b=-7.08100000
T:ZetaZero = +0.02646740+0.99964968i, b=-13.87000000
T:ZetaZero = +0.02650588-0.99964866i, b=-7.92700000
T:ZetaZero = +0.02664128-0.99964506i, b=-5.46800000
T:ZetaZero = +0.02674022+0.99964242i, b=-4.05700000
T:ZetaZero = +0.02702405+0.99963478i, b=-9.15900000
T:ZetaZero = -0.02715797+0.99963115i, b=-7.83400000
T:ZetaZero = -0.02729011+0.99962756i, b=-14.82800000
T:ZetaZero = +0.02735969+0.99962565i, b=-15.38400000
T:ZetaZero = +0.02737822-0.99962515i, b=-1.31800000
T:ZetaZero = -0.02746929-0.99962265i, b=-5.27900000
T:ZetaZero = +0.02763449-0.99961809i, b=-6.60600000
T:ZetaZero = -0.02777349+0.99961424i, b=-1.98100000
T:ZetaZero = -0.02777703+0.99961414i, b=-9.16100000
T:ZetaZero = -0.02786436-0.99961171i, b=-12.25900000
T:ZetaZero = -0.02821279+0.99960194i, b=-13.68700000
T:ZetaZero = +0.02824713+0.99960097i, b=-1.60100000
T:ZetaZero = -0.02831739+0.99959898i, b=-14.26500000
T:ZetaZero = -0.02835135-0.99959802i, b=-8.48500000
T:ZetaZero = +0.02867024+0.99958892i, b=-3.30300000
T:ZetaZero = +0.02871009-0.99958778i, b=-8.48700000
T:ZetaZero = +0.02872681+0.99958730i, b=-11.24500000
T:ZetaZero = +0.02890136-0.99958227i, b=-1.88500000
T:ZetaZero = +0.02895685+0.99958066i, b=-2.92500000
T:ZetaZero = -0.02899854+0.99957945i, b=-13.11900000
T:ZetaZero = +0.02903266+0.99957846i, b=-6.13600000
T:ZetaZero = +0.02942384+0.99956703i, b=-5.94900000
T:ZetaZero = -0.02961062+0.99956151i, b=-5.00300000
T:ZetaZero = +0.02962009-0.99956123i, b=-0.36600000
T:ZetaZero = -0.02997321+0.99955070i, b=-15.76200000
T:ZetaZero = -0.02998580-0.99955032i, b=-2.63800000
T:ZetaZero = +0.03019137+0.99954414i, b=-9.34300000
T:ZetaZero = +0.03025406-0.99954224i, b=-7.35600000
